,Ward,Wardname,Population2011Census,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking,District,PopPlusDistrict,Wardcode,hhSocialRented,JobSeekers,Noqual,Carsperhousehold,Crimerate,Openspace,Districtcode
363,Mayfield,Redbridge - Mayfield,13672.0,111.4,78.1,82.9,24.2612638970158,11.6,73.3,41.1,13.5,Redbridge,"13672, Redbridge",00BCGM,7.6,7.0,20.5,1.2,80.2,16.8,00BC
364,Bethnal Green North,Tower Hamlets - Bethnal Green North,13683.0,54.5,73.6,78.6,18.5558722502375,7.0,49.4,38.7,15.0,Tower Hamlets,"13683, Tower Hamlets",00BGFW,46.0,12.8,22.1,0.4,123.6,6.1,00BG
365,Gipsy Hill,Lambeth - Gipsy Hill,13712.0,70.1,77.2,83.0,22.4912485414236,8.1,44.9,30.6,7.7,Lambeth,"13712, Lambeth",,,,,,,,
366,Bounds Green,Haringey - Bounds Green,13725.0,61.9,74.2,81.6,18.6739526411658,9.2,39.8,48.5,21.5,Haringey,"13725, Haringey",00APGB,28.4,8.5,17.3,0.6,92.6,25.3,00AP
367,Rotherhithe,Southwark - Rotherhithe,13743.0,54.8,76.3,79.2,17.2378665502438,7.4,40.9,43.4,15.2,Southwark,"13743, Southwark",00BEGT,45.6,5.8,17.5,0.5,107.2,34.1,00BE
368,Welsh Harp,Brent - Welsh Harp,13753.0,85.0,81.2,88.5,21.3480695121064,11.4,61.3,55.0,22.9,Brent,"13753, Brent",00AEHD,19.2,7.7,22.6,0.9,85.3,34.2,00AE
369,Chase,Enfield - Chase,13762.0,63.5,76.8,80.8,22.1915419270455,13.2,23.4,21.0,7.0,Enfield,"13762, Enfield",00AKGN,21.3,6.5,22.4,1.1,52.5,81.5,00AK
370,South Bermondsey,Southwark - South Bermondsey,13780.0,60.5,77.2,81.1,20.5297532656023,7.2,44.8,41.1,14.6,Southwark,"13780, Southwark",00BEGU,52.3,8.7,21.9,0.5,107.3,3.0,00BE
371,Southgate Green,Enfield - Southgate Green,13787.0,57.8,78.2,85.2,18.1112642344237,15.3,33.2,36.2,14.0,Enfield,"13787, Enfield",00AKHD,12.0,4.3,16.3,1.1,65.9,20.6,00AK
372,Cockfosters,Enfield - Cockfosters,13788.0,46.1,81.5,86.8,17.2251232956194,19.0,26.3,30.5,9.5,Enfield,"13788, Enfield",00AKGP,12.0,4.3,19.0,1.3,55.9,68.8,00AK
373,Clapham Town,Lambeth - Clapham Town,13795.0,37.9,75.5,81.7,14.5922435665096,7.3,29.3,35.2,7.8,Lambeth,"13795, Lambeth",00AYGC,29.7,5.1,10.9,0.5,179.5,13.2,00AY
374,Cann Hall,Waltham Forest - Cann Hall,13799.0,106.8,77.0,81.3,21.689977534604,7.1,57.0,48.8,18.2,Waltham Forest,"13799, Waltham Forest",00BHFX,28.3,10.5,19.2,0.6,84.6,5.0,00BH
375,St. Pancras and Somers Town,Camden - St. Pancras and Somers Town,13818.0,75.8,75.5,85.3,19.959473150962502,9.4,49.0,42.4,17.9,Camden,"13818, Camden",00AGGU,61.2,10.8,22.7,0.3,120.8,13.5,00AG
376,Brunel,Hillingdon - Brunel,13841.0,47.2,78.2,83.4,15.526334802398699,11.1,38.2,29.3,9.8,Hillingdon,"13841, Hillingdon",00ASGJ,22.0,3.3,17.6,1.1,90.4,40.5,00AS
377,East Ham North,Newham - East Ham North,13866.0,92.8,71.3,76.9,21.8736477715275,7.9,90.8,60.2,31.5,Newham,"13866, Newham",00BBGH,17.6,8.9,19.9,0.7,79.7,12.3,00BB
378,Caledonian,Islington - Caledonian,13896.0,49.2,75.5,81.9,15.2489925158319,9.0,34.7,37.3,14.4,Islington,"13896, Islington",00AUFZ,44.7,6.3,21.0,0.4,116.7,16.4,00AU
379,Lady Margaret,Ealing - Lady Margaret,13897.0,91.3,78.2,81.9,20.1986040152551,11.0,83.5,55.9,25.2,Ealing,"13897, Ealing",00AJGP,7.3,6.1,19.8,1.3,64.1,19.4,00AJ
380,Haggerston,Hackney - Haggerston,13904.0,39.8,73.8,84.1,15.9882048331415,5.7,45.6,45.9,17.4,Hackney,"13904, Hackney",00AMGJ,44.1,10.4,16.1,0.3,382.1,19.1,00AM
381,Dormers Wells,Ealing - Dormers Wells,13910.0,76.8,77.0,82.3,22.393961179007896,11.6,82.1,56.0,29.1,Ealing,"13910, Ealing",00AJGE,28.4,8.9,23.5,1.0,80.6,47.3,00AJ
382,Hoe Street,Waltham Forest - Hoe Street,13912.0,79.1,75.9,81.7,21.075330649798698,8.8,49.9,42.8,17.2,Waltham Forest,"13912, Waltham Forest",00BHGJ,27.0,11.5,19.0,0.6,110.2,10.6,00BH
383,Bush Hill Park,Enfield - Bush Hill Park,13923.0,61.1,79.6,84.0,18.0205415499533,17.2,26.8,25.7,7.7,Enfield,"13923, Enfield",00AKGM,5.2,4.1,20.4,1.3,53.7,29.6,00AK
384,Noel Park,Haringey - Noel Park,13939.0,53.0,74.8,84.7,19.097496233589197,8.5,45.2,51.7,25.4,Haringey,"13939, Haringey",00APGK,38.2,12.1,20.8,0.5,247.3,11.5,00AP
385,Uxbridge South,Hillingdon - Uxbridge South,13979.0,36.6,75.1,81.8,13.2627512697618,9.6,37.9,30.9,10.0,Hillingdon,"13979, Hillingdon",00ASHA,22.2,3.9,14.1,1.0,123.0,26.2,00AS
386,Alperton,Brent - Alperton,14017.0,87.6,76.7,87.0,19.0054933295284,9.5,81.8,66.8,32.3,Brent,"14017, Brent",00AEGJ,12.1,4.5,22.1,0.9,103.1,17.7,00AE
387,Ealing Common,Ealing - Ealing Common,14019.0,49.6,77.0,86.3,15.222198444967502,11.3,31.5,43.1,15.4,Ealing,"14019, Ealing",00AJGG,14.6,4.8,10.8,0.9,91.3,22.2,00AJ
388,Ealing Broadway,Ealing - Ealing Broadway,14029.0,49.7,79.7,85.0,14.5484353838477,11.9,30.5,44.3,18.6,Ealing,"14029, Ealing",00AJGF,11.0,3.4,7.3,0.8,159.6,6.1,00AJ
389,Norwood Green,Ealing - Norwood Green,14032.0,70.7,78.2,79.9,20.6242873432155,10.7,78.0,50.7,25.6,Ealing,"14032, Ealing",00AJGU,34.7,10.1,21.8,1.1,124.6,47.6,00AJ
390,Leabridge,Hackney - Leabridge,14039.0,71.9,73.7,78.1,21.091245815229,7.0,52.7,40.7,17.3,Hackney,"14039, Hackney",00AMGM,32.0,11.4,18.5,0.5,84.4,23.0,00AM
391,Blackheath,Lewisham - Blackheath,14039.0,56.8,77.4,82.4,18.3845003205357,10.9,30.2,29.3,7.4,Lewisham,"14039, Lewisham",00AZGE,28.8,4.7,13.2,0.7,106.9,34.6,00AZ
392,Peninsula,Greenwich - Peninsula,14051.0,68.2,74.6,85.1,16.9240623443171,8.3,30.6,33.0,10.4,Greenwich,"14051, Greenwich",00ALHB,30.6,4.1,15.0,0.6,167.4,33.7,00AL
393,Bowes,Enfield - Bowes,14051.0,85.4,78.5,83.8,17.2443242473845,10.6,38.6,47.5,23.3,Enfield,"14051, Enfield",00AKGL,10.7,6.8,16.7,0.8,61.8,15.3,00AK
394,Chapel End,Waltham Forest - Chapel End,14086.0,103.4,75.8,86.7,24.116143688769004,8.0,48.5,36.9,14.1,Waltham Forest,"14086, Waltham Forest",00BHFZ,15.7,8.2,18.7,0.9,95.7,31.2,00BH
395,Townfield,Hillingdon - Townfield,14106.0,94.6,74.8,79.4,23.1958032043102,9.8,62.9,44.7,18.1,Hillingdon,"14106, Hillingdon",00ASGY,30.1,7.9,24.7,1.0,147.8,30.8,00AS
396,Valentines,Redbridge - Valentines,14123.0,99.7,75.9,86.4,24.031721305671603,8.7,77.6,50.3,21.0,Redbridge,"14123, Redbridge",00BCGT,8.9,8.8,16.6,0.8,146.7,13.8,00BC
397,High Street,Waltham Forest - High Street,14127.0,97.4,78.4,81.7,19.5087421250088,7.6,50.7,44.4,18.0,Waltham Forest,"14127, Waltham Forest",00BHGG,19.0,8.3,18.3,0.6,209.2,56.4,00BH
398,Livesey,Southwark - Livesey,14129.0,80.0,77.0,81.5,23.568546960152897,9.1,62.2,44.3,11.9,Southwark,"14129, Southwark",00BEGM,66.9,13.1,23.8,0.4,126.4,4.5,00BE
399,Newington,Southwark - Newington,14136.0,48.1,77.5,83.2,17.282116581777,8.5,48.2,42.5,13.6,Southwark,"14136, Southwark",00BEGN,54.2,7.8,19.4,0.4,97.6,3.8,00BE
400,Vassall,Lambeth - Vassall,14143.0,47.1,74.3,82.1,18.0159796365693,7.2,52.7,40.0,12.1,Lambeth,"14143, Lambeth",00AYGW,53.2,11.0,16.0,0.4,100.4,16.8,00AY
401,Askew,Hammersmith and Fulham - Askew,14160.0,50.8,74.6,78.2,17.217514124293803,7.8,37.0,42.5,14.8,Hammersmith and Fulham,"14160, Hammersmith and Fulham",00ANGB,34.8,6.7,13.7,0.5,73.1,3.6,00AN
402,Shaftesbury,Wandsworth - Shaftesbury,14160.0,51.0,80.8,84.9,12.718926553672302,7.7,18.8,29.0,5.7,Wandsworth,"14160, Wandsworth",00BJGN,22.6,2.8,10.9,0.6,84.9,2.4,00BJ
403,Bethnal Green South,Tower Hamlets - Bethnal Green South,14166.0,51.0,77.1,87.3,19.709162784131,5.3,64.3,45.5,23.1,Tower Hamlets,"14166, Tower Hamlets",00BGFX,44.9,10.9,21.4,0.3,128.5,16.9,00BG
404,Leyton,Waltham Forest - Leyton,14184.0,83.6,79.0,80.7,24.280879864636198,7.4,63.5,48.8,20.8,Waltham Forest,"14184, Waltham Forest",00BHGM,34.5,12.5,21.1,0.6,104.6,27.1,00BH
405,Hobbayne,Ealing - Hobbayne,14229.0,77.7,77.5,86.0,22.6017288635884,11.3,37.7,40.7,17.2,Ealing,"14229, Ealing",00AJGN,25.2,5.6,18.2,0.9,65.4,36.1,00AJ
406,Whitefoot,Lewisham - Whitefoot,14249.0,71.4,77.5,82.7,25.791283598849002,11.3,50.5,29.5,6.8,Lewisham,"14249, Lewisham",00AZGX,34.5,8.8,25.9,0.8,95.8,27.9,00AZ
407,Chadwell,Redbridge - Chadwell,14257.0,90.5,77.9,81.8,24.668583853545602,10.3,56.9,31.6,9.9,Redbridge,"14257, Redbridge",00BCGB,10.0,6.5,18.5,1.0,67.1,4.8,00BC
408,Prince's,Lambeth - Prince's,14262.0,65.9,74.5,81.5,16.8980507642687,9.3,43.4,38.5,12.4,Lambeth,"14262, Lambeth",00AYGL,47.1,8.9,16.3,0.4,142.1,20.7,00AY
409,Streatham Hill,Lambeth - Streatham Hill,14263.0,57.1,76.4,79.9,18.3201290051181,8.4,37.9,37.8,12.4,Lambeth,"14263, Lambeth",00AYGP,24.9,6.5,13.5,0.6,81.5,14.2,00AY
410,Shirley,Croydon - Shirley,14296.0,71.4,83.0,85.4,20.628147733631803,16.7,30.9,19.7,3.9,Croydon,"14296, Croydon",00AHGY,18.5,4.7,19.1,1.2,39.6,16.0,00AH
411,Kidbrooke with Hornfair,Greenwich - Kidbrooke with Hornfair,14300.0,73.2,76.2,84.1,20.3216783216783,11.9,33.6,27.3,7.6,Greenwich,"14300, Greenwich",00ALGZ,32.1,6.8,23.7,0.9,72.7,28.2,00AL
412,Streatham South,Lambeth - Streatham South,14336.0,69.3,81.3,84.5,20.6682477678571,10.9,52.5,44.5,15.8,Lambeth,"14336, Lambeth",00AYGQ,15.5,7.6,17.0,0.8,69.7,26.6,00AY
413,Greenford Green,Ealing - Greenford Green,14349.0,94.4,79.0,84.0,20.9631333193951,11.9,49.0,50.1,21.9,Ealing,"14349, Ealing",00AJGL,9.7,4.8,17.8,1.1,87.0,22.6,00AJ
414,Brentford,Hounslow - Brentford,14353.0,62.7,76.7,85.7,17.9126315056086,9.9,33.9,38.3,15.0,Hounslow,"14353, Hounslow",00ATFZ,37.7,3.9,17.2,0.8,84.3,42.9,00AT
415,Jubilee,Enfield - Jubilee,14355.0,92.0,77.2,82.2,23.7965865552072,11.9,50.9,40.8,16.9,Enfield,"14355, Enfield",00AKGX,15.5,9.1,28.5,1.0,61.4,60.6,00AK
416,Finsbury Park,Islington - Finsbury Park,14358.0,46.8,74.2,78.8,18.4148210057111,8.5,42.9,41.6,17.5,Islington,"14358, Islington",00AUGC,43.4,9.6,20.6,0.3,182.9,15.9,00AU
417,West Drayton,Hillingdon - West Drayton,14370.0,77.9,75.3,81.9,22.7557411273486,11.5,33.5,27.6,9.2,Hillingdon,"14370, Hillingdon",00ASHB,26.4,5.3,24.3,1.1,81.8,32.0,00AS
418,Turkey Street,Enfield - Turkey Street,14377.0,74.1,76.2,81.4,25.512972108228396,11.5,37.9,31.0,14.1,Enfield,"14377, Enfield",00AKHF,26.3,9.5,30.2,1.0,74.6,30.5,00AK
419,Charlton,Greenwich - Charlton,14385.0,89.3,74.1,79.9,21.8143899895725,10.7,36.2,31.0,9.4,Greenwich,"14385, Greenwich",00ALGR,41.1,7.4,20.8,0.7,66.2,31.6,00AL
420,Riverside,Southwark - Riverside,14390.0,50.0,78.0,80.8,12.4461431549687,6.4,31.2,40.5,12.7,Southwark,"14390, Southwark",00BEGS,34.3,4.7,13.5,0.5,147.9,23.2,00BE
421,Northumberland Park,Haringey - Northumberland Park,14429.0,81.7,73.8,84.0,27.0427611061058,7.9,60.9,53.5,25.5,Haringey,"14429, Haringey",00APGL,48.6,20.8,29.2,0.5,124.1,23.0,00AP
422,Southgate,Enfield - Southgate,14454.0,67.0,81.1,85.4,18.8390756883908,14.1,31.6,33.2,11.7,Enfield,"14454, Enfield",00AKHC,7.4,4.6,16.1,1.1,59.3,27.2,00AK
423,Bromley-by-Bow,Tower Hamlets - Bromley-by-Bow,14480.0,80.8,76.3,83.0,26.7334254143646,5.8,70.4,43.5,22.0,Tower Hamlets,"14480, Tower Hamlets",,,,,,,,
424,Bruce Grove,Haringey - Bruce Grove,14483.0,83.9,75.2,83.0,22.460816129255,8.4,55.9,55.5,23.5,Haringey,"14483, Haringey",00APGC,28.2,15.3,22.5,0.5,111.6,4.9,00AP
425,Southbury,Enfield - Southbury,14506.0,87.5,79.6,81.3,24.982765752102605,9.5,36.2,30.2,12.0,Enfield,"14506, Enfield",00AKHB,24.0,8.1,24.6,0.9,103.3,29.3,00AK
426,Chelsfield and Pratts Bottom,Bromley - Chelsfield and Pratts Bottom,14507.0,52.6,83.0,85.6,19.2941338664093,18.7,9.7,9.7,1.3,Bromley,"14507, Bromley",00AFGH,4.6,2.3,16.4,1.5,32.7,69.2,00AF
427,Woodside,Haringey - Woodside,14514.0,59.0,74.0,84.4,19.1883698498002,8.5,43.2,54.2,25.6,Haringey,"14514, Haringey",00APGU,23.2,9.2,20.0,0.6,99.2,26.8,00AP
428,Ladywell,Lewisham - Ladywell,14515.0,63.6,74.5,79.2,18.325869789872502,8.9,45.4,35.4,9.4,Lewisham,"14515, Lewisham",00AZGN,23.6,6.1,12.8,0.7,90.7,25.6,00AZ
429,Elthorne,Ealing - Elthorne,14539.0,71.4,74.8,85.5,19.698741316459202,9.7,34.9,40.6,16.9,Ealing,"14539, Ealing",00AJGJ,20.2,5.9,15.1,0.8,103.8,34.2,00AJ
430,Aldborough,Redbridge - Aldborough,14544.0,69.2,77.4,82.2,23.0060506050605,12.4,61.3,38.4,12.8,Redbridge,"14544, Redbridge",00BCFY,11.3,5.3,19.6,1.1,100.4,76.8,00BC
431,St. Leonard's,Lambeth - St. Leonard's,14550.0,69.1,76.2,82.3,17.0378006872852,7.6,38.9,40.4,15.8,Lambeth,"14550, Lambeth",00AYGM,14.0,7.3,12.6,0.6,129.7,13.2,00AY
432,Cleveland,Ealing - Cleveland,14558.0,59.1,76.8,85.9,21.706278334936105,11.9,36.9,39.6,15.1,Ealing,"14558, Ealing",00AJGD,21.5,5.6,13.1,0.9,52.3,34.8,00AJ
433,Downham,Lewisham - Downham,14567.0,66.7,74.3,81.8,24.7065284547264,12.7,41.7,24.8,6.2,Lewisham,"14567, Lewisham",00AZGJ,40.9,9.9,30.2,0.7,90.4,30.1,00AZ
434,Lee Green,Lewisham - Lee Green,14573.0,78.0,77.1,81.2,19.309682289164897,10.9,33.7,28.9,8.1,Lewisham,"14573, Lewisham",00AZGP,21.2,6.3,14.6,0.7,84.4,11.9,00AZ
435,Bedford,Wandsworth - Bedford,14575.0,51.1,78.2,82.6,14.6415094339623,7.5,27.6,30.3,8.3,Wandsworth,"14575, Wandsworth",00BJGA,16.1,2.9,9.1,0.7,62.2,47.9,00BJ
436,Southall Green,Ealing - Southall Green,14579.0,111.7,75.9,87.1,22.326634199876498,8.2,91.4,63.3,36.7,Ealing,"14579, Ealing",00AJGZ,13.6,10.9,23.6,0.9,102.7,16.3,00AJ
437,Tottenham Green,Haringey - Tottenham Green,14580.0,64.6,72.5,82.8,20.418381344307303,8.2,52.8,55.0,25.8,Haringey,"14580, Haringey",00APGQ,39.2,12.7,22.7,0.4,151.9,10.5,00AP
438,Grove Green,Waltham Forest - Grove Green,14604.0,80.5,74.4,80.8,19.042728019720602,7.1,53.2,53.0,21.2,Waltham Forest,"14604, Waltham Forest",00BHGD,9.1,7.1,15.7,0.6,69.1,4.3,00BH
439,Purley,Croydon - Purley,14607.0,79.6,79.6,83.6,19.4632710344355,15.0,31.6,23.1,5.0,Croydon,"14607, Croydon",00AHGT,7.6,4.4,12.9,1.2,81.7,3.8,00AH
440,Fairfield,Wandsworth - Fairfield,14613.0,46.2,77.2,80.3,12.6736467528913,6.7,22.1,32.5,7.1,Wandsworth,"14613, Wandsworth",00BJGD,15.2,2.4,8.5,0.7,83.7,11.2,00BJ
441,Farnborough and Crofton,Bromley - Farnborough and Crofton,14632.0,53.1,79.6,86.6,18.630399125205,23.0,9.5,10.0,1.4,Bromley,"14632, Bromley",00AFGR,8.8,2.2,18.1,1.3,38.8,49.7,00AF
442,St. Ann's,Haringey - St. Ann's,14638.0,76.2,73.6,81.8,18.247028282552304,8.5,45.7,54.7,25.9,Haringey,"14638, Haringey",00APGM,23.6,11.3,20.4,0.5,91.5,20.0,00AP
443,Bunhill,Islington - Bunhill,14639.0,44.5,75.5,82.1,13.4503722931894,7.9,34.5,41.9,16.6,Islington,"14639, Islington",00AUFY,47.3,6.5,15.8,0.3,179.7,13.5,00AU
444,Grove Park,Lewisham - Grove Park,14648.0,66.4,77.2,82.2,20.8287820862916,12.6,37.5,26.9,7.0,Lewisham,"14648, Lewisham",00AZGM,26.7,7.1,22.5,0.9,69.9,21.6,00AZ
445,Clementswood,Redbridge - Clementswood,14666.0,93.1,76.7,81.2,26.639847265784802,7.4,84.2,55.6,25.1,Redbridge,"14666, Redbridge",00BCGE,10.7,9.1,18.6,0.8,183.3,7.7,00BC
446,Nightingale,Wandsworth - Nightingale,14679.0,63.3,75.3,79.2,16.2068260780707,9.5,21.4,27.7,6.7,Wandsworth,"14679, Wandsworth",00BJGH,13.1,2.7,8.9,0.7,63.7,9.5,00BJ
447,Gooshays,Havering - Gooshays,14692.0,68.6,76.3,80.4,23.2371358562483,12.9,12.8,10.7,2.6,Havering,"14692, Havering",00ARGG,41.9,9.3,34.2,1.0,86.2,68.4,00AR
448,North Greenford,Ealing - North Greenford,14713.0,87.7,79.8,87.4,20.288180520628,11.4,56.4,51.4,22.1,Ealing,"14713, Ealing",00AJGR,8.3,3.8,16.9,1.2,69.6,53.3,00AJ
449,Peckham,Southwark - Peckham,14720.0,89.0,75.8,77.8,24.2663043478261,6.2,70.8,47.6,12.3,Southwark,"14720, Southwark",00BEGQ,59.4,14.4,19.6,0.5,126.2,7.0,00BE
450,Ashburton,Croydon - Ashburton,14721.0,60.0,78.5,82.3,21.7784117926771,13.2,36.7,22.3,4.8,Croydon,"14721, Croydon",00AHGF,21.5,5.4,19.5,1.1,62.7,22.2,00AH
451,Wembley Central,Brent - Wembley Central,14727.0,88.1,76.8,88.2,18.2114483601548,9.7,86.0,68.5,32.9,Brent,"14727, Brent",00AEHE,15.6,6.0,20.7,0.8,156.3,20.1,00AE
452,Hounslow Heath,Hounslow - Hounslow Heath,14727.0,97.2,76.0,87.6,23.114008284104,7.8,72.6,58.0,27.7,Hounslow,"14727, Hounslow",00ATGM,20.0,6.0,15.7,0.9,97.3,48.7,00AT
453,Dalston,Hackney - Dalston,14727.0,57.2,80.9,79.8,16.4595640660012,6.2,44.5,40.8,14.0,Hackney,"14727, Hackney",00AMGE,38.9,12.0,15.9,0.4,198.0,17.1,00AM
454,West Putney,Wandsworth - West Putney,14742.0,50.4,75.6,79.9,17.799484466151103,13.3,22.9,34.4,9.5,Wandsworth,"14742, Wandsworth",00BJGU,22.9,3.8,14.5,0.8,51.6,20.5,00BJ
455,Balham,Wandsworth - Balham,14751.0,59.5,79.3,84.4,15.687072062911,7.8,19.4,28.5,6.5,Wandsworth,"14751, Wandsworth",00BJFZ,10.9,2.4,7.1,0.7,90.3,11.7,00BJ
456,Knight's Hill,Lambeth - Knight's Hill,14763.0,73.7,74.4,79.4,23.2473074578338,9.0,47.7,35.3,11.6,Lambeth,"14763, Lambeth",00AYGH,30.6,9.1,15.9,0.6,90.8,13.3,00AY
457,Pinkwell,Hillingdon - Pinkwell,14767.0,94.4,74.5,86.2,26.335748628699104,8.6,68.2,45.3,18.5,Hillingdon,"14767, Hillingdon",00ASGW,20.4,6.0,22.0,1.2,97.8,26.9,00AS
458,Bellingham,Lewisham - Bellingham,14775.0,76.6,75.2,79.1,25.1573604060914,10.2,51.3,29.6,6.2,Lewisham,"14775, Lewisham",00AZGD,44.0,9.5,25.4,0.7,103.1,46.7,00AZ
459,Bow East,Tower Hamlets - Bow East,14781.0,64.2,71.3,80.8,17.4616061159597,7.4,39.9,30.9,10.9,Tower Hamlets,"14781, Tower Hamlets",00BGFZ,42.8,10.5,21.4,0.4,113.1,30.3,00BG
460,Canning Town North,Newham - Canning Town North,14810.0,72.4,74.6,75.9,22.9574611748818,7.7,59.2,47.9,18.6,Newham,"14810, Newham",00BBGD,49.3,14.4,25.7,0.5,125.7,21.7,00BB
461,Chislehurst,Bromley - Chislehurst,14831.0,59.7,81.2,83.0,17.982604005124397,21.5,12.0,12.7,1.9,Bromley,"14831, Bromley",00AFGJ,7.1,2.9,15.8,1.4,70.1,60.0,00AF
462,Thamesfield,Wandsworth - Thamesfield,14842.0,63.7,81.4,82.9,15.1731572564344,8.8,12.3,31.4,5.8,Wandsworth,"14842, Wandsworth",00BJGQ,7.5,1.3,6.3,0.8,104.9,34.5,00BJ
463,Wall End,Newham - Wall End,14846.0,89.0,78.6,80.3,25.239121648929,6.5,82.2,59.8,29.7,Newham,"14846, Newham",00BBGW,17.7,8.4,19.6,0.7,63.7,33.9,00BB
464,Forest Hill,Lewisham - Forest Hill,14854.0,74.1,76.5,80.4,21.1188905345362,10.0,38.2,31.1,8.2,Lewisham,"14854, Lewisham",00AZGL,26.4,7.6,13.9,0.7,78.2,22.2,00AZ
465,East India and Lansbury,Tower Hamlets - East India and Lansbury,14859.0,102.2,74.9,81.8,27.7676828857931,7.0,63.7,39.5,18.6,Tower Hamlets,"14859, Tower Hamlets",00BGGC,57.5,19.5,30.7,0.4,107.4,12.5,00BG
466,Whitechapel,Tower Hamlets - Whitechapel,14862.0,66.9,73.6,83.2,16.3706096083973,5.6,60.2,48.8,24.8,Tower Hamlets,"14862, Tower Hamlets",00BGGN,32.9,9.3,17.1,0.3,146.5,5.4,00BG
467,South Acton,Ealing - South Acton,14873.0,62.9,76.4,79.8,20.453170174141103,11.1,43.5,50.5,23.4,Ealing,"14873, Ealing",00AJGX,33.9,7.3,16.2,0.7,106.8,17.5,00AJ
468,West Wickham,Bromley - West Wickham,14884.0,52.2,80.9,84.7,19.8535339962376,19.7,10.6,9.7,1.3,Bromley,"14884, Bromley",00AFHB,4.4,2.2,15.2,1.4,40.8,32.6,00AF
469,Town,Enfield - Town,14906.0,61.6,79.9,83.8,20.1730846638937,14.9,18.0,17.1,4.4,Enfield,"14906, Enfield",00AKHE,6.1,3.8,17.4,1.2,54.5,16.0,00AK
470,Streatham Wells,Lambeth - Streatham Wells,14906.0,68.6,75.4,77.7,19.327787468133604,8.3,43.1,41.2,14.2,Lambeth,"14906, Lambeth",00AYGR,20.8,6.2,13.9,0.6,81.4,18.3,00AY
471,Kensal Green,Brent - Kensal Green,14915.0,94.6,76.7,83.1,19.5507877975193,9.0,52.3,50.2,21.9,Brent,"14915, Brent",00AEGR,26.7,13.3,19.7,0.6,141.0,6.9,00AE
472,Rushey Green,Lewisham - Rushey Green,14916.0,78.2,75.2,80.1,22.036739072137298,9.0,59.1,38.0,10.2,Lewisham,"14916, Lewisham",00AZGT,26.9,9.2,18.0,0.6,140.6,24.1,00AZ
473,Crofton Park,Lewisham - Crofton Park,14937.0,84.4,78.5,86.4,19.5353819374707,9.1,39.6,30.1,7.0,Lewisham,"14937, Lewisham",00AZGH,16.8,5.9,15.3,0.7,70.7,20.7,00AZ
474,Northcote,Wandsworth - Northcote,14940.0,72.9,80.1,81.1,19.0361445783133,6.0,14.9,28.9,5.7,Wandsworth,"14940, Wandsworth",00BJGJ,13.6,2.3,6.7,0.8,112.9,34.0,00BJ
475,Cathedrals,Southwark - Cathedrals,14941.0,26.6,75.0,93.3,10.6887089217589,7.4,38.4,40.0,10.4,Southwark,"14941, Southwark",00BEGE,42.8,7.1,12.7,0.4,208.6,15.3,00BE
476,Sudbury,Brent - Sudbury,14950.0,115.0,80.5,84.8,20.6622073578595,10.5,77.3,62.2,28.4,Brent,"14950, Brent",00AEHB,15.0,6.1,18.1,0.9,82.5,34.6,00AE
477,Brooklands,Havering - Brooklands,14957.0,67.1,73.8,77.7,21.0670589021863,13.5,22.3,17.4,4.4,Havering,"14957, Havering",00ARGC,17.4,5.0,24.9,1.0,76.8,44.9,00AR
478,Kenley,Croydon - Kenley,14966.0,76.0,78.0,80.7,20.7603902178271,14.9,23.2,17.9,3.0,Croydon,"14966, Croydon",00AHGQ,11.4,4.0,14.6,1.3,39.8,39.6,00AH
479,Holloway,Islington - Holloway,14983.0,35.0,72.8,81.1,15.5776546752987,8.2,36.1,39.6,14.9,Islington,"14983, Islington",00AUGG,46.5,6.2,18.8,0.4,79.4,16.9,00AU
480,East Putney,Wandsworth - East Putney,15022.0,45.7,80.7,85.1,13.273864998002901,11.0,20.6,39.4,9.3,Wandsworth,"15022, Wandsworth",00BJGC,11.3,2.2,7.9,0.7,49.0,11.0,00BJ
481,Highbury West,Islington - Highbury West,15030.0,54.4,75.3,85.1,15.189620758483,6.7,32.1,34.5,12.8,Islington,"15030, Islington",00AUGE,33.5,6.0,12.6,0.4,86.8,10.5,00AU
482,Camberwell Green,Southwark - Camberwell Green,15032.0,69.6,74.4,85.1,21.1881319850985,7.4,61.1,46.8,13.4,Southwark,"15032, Southwark",00BEGD,63.5,11.6,19.3,0.4,128.1,1.6,00BE
483,Ferndale,Lambeth - Ferndale,15032.0,37.5,74.8,82.6,12.5598722724854,6.2,40.4,41.7,11.8,Lambeth,"15032, Lambeth",00AYGE,37.4,6.6,13.3,0.4,172.6,10.2,00AY
484,Botwell,Hillingdon - Botwell,15034.0,94.5,75.6,82.0,24.9634162564853,9.1,60.2,42.7,17.9,Hillingdon,"15034, Hillingdon",00ASGH,25.2,7.6,24.0,1.1,111.0,32.2,00AS
485,Dudden Hill,Brent - Dudden Hill,15059.0,76.0,85.3,88.1,20.399760940301498,9.7,55.9,56.2,23.8,Brent,"15059, Brent",00AEGN,19.9,9.1,19.8,0.8,112.1,11.5,00AE
486,Tottenham Hale,Haringey - Tottenham Hale,15064.0,69.1,75.7,78.3,23.645778013807803,7.8,57.4,53.5,22.3,Haringey,"15064, Haringey",00APGR,39.2,11.8,24.7,0.5,133.3,29.0,00AP
